name,url
Dengue-20220113.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220113.pdf?sequence=1&isAllowed=y
Dengue-20220127.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220127.pdf?sequence=2&isAllowed=y
Dengue-20220210.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220210.pdf?sequence=3&isAllowed=y
Dengue-20220224.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220224.pdf?sequence=4&isAllowed=y
Dengue-20220310.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220310.pdf?sequence=5&isAllowed=y
Dengue-20220324.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220324.pdf?sequence=6&isAllowed=y
Dengue-20220113.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220113.pdf?sequence=1&isAllowed=y
Dengue-20220127.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220127.pdf?sequence=2&isAllowed=y
Dengue-20220210.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220210.pdf?sequence=3&isAllowed=y
Dengue-20220224.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220224.pdf?sequence=4&isAllowed=y
Dengue-20220310.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220310.pdf?sequence=5&isAllowed=y
Dengue-20220324.pdf,http://apps.who.int//iris/bitstream/handle/10665/352792/Dengue-20220324.pdf?sequence=6&isAllowed=y
Dengue-20151229.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151229.pdf?sequence=1&isAllowed=y
Dengue-20151215.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151215.pdf?sequence=2&isAllowed=y
Dengue-20151201.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151201.pdf?sequence=3&isAllowed=y
Dengue-20151117.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151117.pdf?sequence=4&isAllowed=y
Dengue-20151103.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151103.pdf?sequence=5&isAllowed=y
Dengue-20151020.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151020.pdf?sequence=6&isAllowed=y
Dengue-20151006.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20151006.pdf?sequence=7&isAllowed=y
Dengue-20150922.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150922.pdf?sequence=8&isAllowed=y
Dengue-20150908.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150908.pdf?sequence=9&isAllowed=y
Dengue-20150825.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150825.pdf?sequence=10&isAllowed=y
Dengue-20150811.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150811.pdf?sequence=11&isAllowed=y
Dengue-20150729.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150729.pdf?sequence=12&isAllowed=y
Dengue-20150715.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150715.pdf?sequence=13&isAllowed=y
Dengue-20150701.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150701.pdf?sequence=14&isAllowed=y
Dengue-20150617.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150617.pdf?sequence=15&isAllowed=y
Dengue-20150602.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150602.pdf?sequence=16&isAllowed=y
Dengue-20150519.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150519.pdf?sequence=17&isAllowed=y
Dengue-20150504.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150504.pdf?sequence=18&isAllowed=y
Dengue-20150422.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150422.pdf?sequence=19&isAllowed=y
Dengue-20150408.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150408.pdf?sequence=20&isAllowed=y
Dengue-20150324.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150324.pdf?sequence=21&isAllowed=y
Dengue-20150310.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150310.pdf?sequence=22&isAllowed=y
Dengue-20150224.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150224.pdf?sequence=23&isAllowed=y
Dengue-20150210.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150210.pdf?sequence=24&isAllowed=y
Dengue-20150127.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150127.pdf?sequence=25&isAllowed=y
Dengue-20150113.pdf,http://apps.who.int//iris/bitstream/handle/10665/274097/Dengue-20150113.pdf?sequence=26&isAllowed=y
Dengue-20161213.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161213.pdf?sequence=1&isAllowed=y
Dengue-20161129.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161129.pdf?sequence=2&isAllowed=y
Dengue-20161115.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161115.pdf?sequence=3&isAllowed=y
Dengue-20161102.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161102.pdf?sequence=4&isAllowed=y
Dengue-20161018.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161018.pdf?sequence=5&isAllowed=y
Dengue-20161004.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20161004.pdf?sequence=6&isAllowed=y
Dengue-20160920.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160920.pdf?sequence=7&isAllowed=y
Dengue-20160906.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160906.pdf?sequence=8&isAllowed=y
Dengue-20160823.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160823.pdf?sequence=9&isAllowed=y
Dengue-20160809.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160809.pdf?sequence=10&isAllowed=y
Dengue-20160726.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160726.pdf?sequence=11&isAllowed=y
Dengue-20160712.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160712.pdf?sequence=12&isAllowed=y
Dengue-20160628.pdf,http://apps.who.int//iris/bitstream/handle/10665/274098/Dengue-20160628.pdf?sequence=13&isAllowed=y
